id,composerkey,title,genre,form,performer,pageurl,mediaurl
1838,NIELSENCARL,?,classical,30,Alice Nielsen,https://archive.org/details/VrsAcoustics-74121-AliceNielsen_22,https://archive.org/download/VrsAcoustics-74121-AliceNielsen_22/Nielsen_74121_64kb.mp3
160,NIELSENCARL,?,classical,30,Alice Nielsen & Florencio Constantino,https://archive.org/details/VrsAcoustics-74063-AliceNielsenFlorencioConstantino,https://archive.org/download/VrsAcoustics-74063-AliceNielsenFlorencioConstantino/Nielsen-Constantino_74063_64kb.mp3
2189,PALESTRINAGIOVANNIPI,?,classical,30,Sistine Chapel Choir - 6442A,https://archive.org/details/VrsAcoustics-SistineChapelChoir-6442a,https://archive.org/download/VrsAcoustics-SistineChapelChoir-6442a/SistineChoir_6442A_64kb.mp3
1795,PALESTRINAGIOVANNIPI,?,classical,30,Sistine Chapel Choir,https://archive.org/details/VrsAcoustics-6442b-SistineChapelChoir,https://archive.org/download/VrsAcoustics-6442b-SistineChapelChoir/SistineChoir_6442B_64kb.mp3
3307,PUCCINIGIACOMO,Amore O Grillo,classical,30,,https://archive.org/details/Amore_O_Grillo,https://archive.org/download/Amore_O_Grillo/Amore_o_grillo_64kb.mp3
9855,PUCCINIGIACOMO,Non ve l'avevo detto,classical,30,,https://archive.org/details/Non_ve_lavevo_detto,https://archive.org/download/Non_ve_lavevo_detto/Caruso_Non_ve_lavevo_64kb.mp3
6003,PUCCINIGIACOMO,Sono un poeta - La Boheme,classical,30,,https://archive.org/details/EDIS-SRP-0194-04,https://archive.org/download/EDIS-SRP-0194-04/EDIS-SRP-0194-04.mp3
2955,PUCCINIGIACOMO,Addio Dolce Svegliare Alla Mattina,classical,30,,https://archive.org/details/AddioDolceSvegliareAllaMattina,
4869,PUCCINIGIACOMO,E lucevan le stelle,classical,30,Caruso,https://archive.org/details/CarusoELucevanLeStelle,https://archive.org/download/CarusoELucevanLeStelle/Caruso_E_lucevan_le_stelle01.mp3
1115,RACHMANINOVSERGEI,"The Art of Rachmaninov Vol. 2, Side 2",classical,30,,https://archive.org/details/TheArtOfRachmaninovVol.2Side2,https://archive.org/download/TheArtOfRachmaninovVol.2Side2/Borodin-Scherzo.mp3
1114,RACHMANINOVSERGEI,"The Art of Rachmaninov Vol. 2, Side 1",classical,30,,https://archive.org/details/TheArtOfRachmaninovVol.2,https://archive.org/download/TheArtOfRachmaninovVol.2/Bach-PreludeFromPartita3ForViolin.mp3
10491,RAVELMAURICE,Concerto for the Left Hand Alone,classical,30,,https://archive.org/details/RavelConcertoForTheLeftHandAlone,https://archive.org/download/RavelConcertoForTheLeftHandAlone/RavelLeftHandConcerto.mp3
6031,ROSSINIGIOACHINO,William Tell overture - part 2,classical,30,,https://archive.org/details/EDIS-SRP-0197-05,https://archive.org/download/EDIS-SRP-0197-05/EDIS-SRP-0197-05.mp3
1786,ROSSINIGIOACHINO,?,classical,30,Jose Mardones,https://archive.org/details/VrsAcoustics-6420b-JoseMardones,https://archive.org/download/VrsAcoustics-6420b-JoseMardones/Mardones_6420B_64kb.mp3
2016,ROSSINIGIOACHINO,?,classical,30,Lucrezia Bori,https://archive.org/details/VrsAcoustics-87181-LucreziaBori,https://archive.org/download/VrsAcoustics-87181-LucreziaBori/87181_Bori_64kb.mp3
686,SCHUBERTFRANZ,?,classical,30,Fritz Kreisler,https://archive.org/details/VrsAcoustics-74202-FritzKreisler,https://archive.org/download/VrsAcoustics-74202-FritzKreisler/Kreisler_74202_64kb.mp3
599,SCHUBERTFRANZ,Serenade,classical,30,,https://archive.org/details/SchubertSerenade_441,https://archive.org/download/SchubertSerenade_441/SchubertSerenade_64kb.mp3
1806,SCHUBERTFRANZ,?,classical,30,Ignace Jan Paderewski,https://archive.org/details/VrsAcoustics-6482-IgnaceJanPaderewski,https://archive.org/download/VrsAcoustics-6482-IgnaceJanPaderewski/Paderewski_6482_64kb.mp3
6042,SCHUBERTFRANZ,"Trio no. 1 in B flat, part 1-1st movement- allegro moderato, Op. 99",classical,30,,https://archive.org/details/EDIS-SRP-0198-07,https://archive.org/download/EDIS-SRP-0198-07/EDIS-SRP-0198-07.mp3
1910,SCHUBERTFRANZ,?,classical,30,Mischa Elman,https://archive.org/details/VrsAcoustics-74339-MischaElman,https://archive.org/download/VrsAcoustics-74339-MischaElman/Elman_74339.mp3
2163,SCHUBERTFRANZ,?,classical,30,Louise Homer & Louise Homer Stires,https://archive.org/details/VrsAcoustics-89159-LouiseHomerLouiseHomerStires,https://archive.org/download/VrsAcoustics-89159-LouiseHomerLouiseHomerStires/Homer-Homer_89159_64kb.mp3
600,SCHUBERTFRANZ,"Sonata in B flat Major, Op. Posthumous",classical,30,,https://archive.org/details/SchubertSonataInBFlatMajorOp.Posthumous,https://archive.org/download/SchubertSonataInBFlatMajorOp.Posthumous/SchubertSonata.mp3
1850,SCHUBERTFRANZ,?,classical,30,Mischa Elman,https://archive.org/details/VrsAcoustics-74167-MischaElman,https://archive.org/download/VrsAcoustics-74167-MischaElman/Elman_74167_64kb.mp3
5118,SCHUBERTFRANZ,Christmas chimes,classical,30,,https://archive.org/details/ChristmasChimes,https://archive.org/download/ChristmasChimes/ChristmasChimes.mp3
597,SCHUBERTFRANZ,Moments musicaux 1-6,classical,30,,https://archive.org/details/SchubertMomentsMusicaux1-6,https://archive.org/download/SchubertMomentsMusicaux1-6/01_no.1InCMajor.mp3
2070,SCHUBERTFRANZ,?,classical,30,Louise Homer,https://archive.org/details/VrsAcoustics-88231-LouiseHomer,https://archive.org/download/VrsAcoustics-88231-LouiseHomer/Homer_88231_64kb.mp3
8647,STRAUSSRICHARD,"J. Strauss, Jr.: One Lives But Once",classical,30,,https://archive.org/details/J.StraussJr.OneLivesButOnce,https://archive.org/download/J.StraussJr.OneLivesButOnce/StraussOneLivesButOnce.mp3
404,SCHUBERTFRANZ,Rosa Ponselle as Norma,classical,30,,https://archive.org/details/RosaPonselleAsNorma,https://archive.org/download/RosaPonselleAsNorma/Bellini-norma-castaDiva.mp3
2137,SCHUMANNROBERT,?,classical,30,Feodor Chaliapin,https://archive.org/details/VrsAcoustics-88645-FeodorChaliapin,https://archive.org/download/VrsAcoustics-88645-FeodorChaliapin/Chaliapin_88645_64kb.mp3
1826,SCHUMANNROBERT,?,classical,30,Josef Hollman,https://archive.org/details/VrsAcoustics-74044-JosefHollman,https://archive.org/download/VrsAcoustics-74044-JosefHollman/Hollman_74044_64kb.mp3
1904,SCHUMANNROBERT,?,classical,30,Vladimir de Pachmann,https://archive.org/details/VrsAcoustics-74285-VladimirDePachmann,https://archive.org/download/VrsAcoustics-74285-VladimirDePachmann/DePachmann_74285_64kb.mp3
1824,SCHUMANNROBERT,?,classical,30,Marcel Journet,https://archive.org/details/VrsAcoustics-74038-MarcelJournet,https://archive.org/download/VrsAcoustics-74038-MarcelJournet/Journet_74038_64kb.mp3
1942,SCHUMANNROBERT,?,classical,30,Flonzaley Quartet,https://archive.org/details/VrsAcoustics-74578-FlonzaleyQuartet,https://archive.org/download/VrsAcoustics-74578-FlonzaleyQuartet/FlonzaleyQuartet_74578_64kb.mp3
2048,SCHUMANNROBERT,?,classical,30,Ernestine Schumann-Heink,https://archive.org/details/VrsAcoustics-88093-ErnestineSchumann-heink,https://archive.org/download/VrsAcoustics-88093-ErnestineSchumann-heink/Schumann-Heink_88093.mp3
2006,SCHUMANNROBERT,?,classical,30,Pol Plancon,https://archive.org/details/VrsAcoustics-85024-PolPlancon,https://archive.org/download/VrsAcoustics-85024-PolPlancon/Plancon_85024_64kb.mp3
1804,SCHUMANNROBERT,?,classical,30,Vladimir de Pachmann,https://archive.org/details/VrsAcoustics-6480a-VladimirDePachmann,https://archive.org/download/VrsAcoustics-6480a-VladimirDePachmann/DePachmann_6480a_64kb.mp3
727,SHOSTAKOVICHDMITRY,Symphony No. 6,classical,30,,https://archive.org/details/Shostakovich_symphony6,https://archive.org/download/Shostakovich_symphony6/Shostakovich6thStoky.mp3
1978,SIBELIUSJEAN,?,classical,30,Philadelphia Symphony Orchestra,https://archive.org/details/VrsAcoustics-74698-PhiladelphiaSymphonyOrchestra,https://archive.org/download/VrsAcoustics-74698-PhiladelphiaSymphonyOrchestra/PhilSymph_74698_64kb.mp3
1386,SIBELIUSJEAN,The Swan of Tuonela,classical,30,,https://archive.org/details/TheSwanOfTuonela,https://archive.org/download/TheSwanOfTuonela/Sibelius_Ormandy_The_Swan_Of_Tuonela_64kb.mp3
1914,SIBELIUSJEAN,?,classical,30,Maud Powell,https://archive.org/details/VrsAcoustics-74408-MaudPowell,https://archive.org/download/VrsAcoustics-74408-MaudPowell/Powell_74408_64kb.mp3
8874,SIBELIUSJEAN,Lemminkainen's Journey,classical,30,,https://archive.org/details/Lemminkainens_Journey,https://archive.org/download/Lemminkainens_Journey/Lemminkainens_Journey_64kb.mp3
409,STRAUSSRICHARD,Rosen aus dem Suden,classical,30,,https://archive.org/details/RosenAusDemSuden,https://archive.org/download/RosenAusDemSuden/78rpmPublicDomain-JohannStraussSohn-RosenAusDemSdenteil1-BerlinerLehrer-gesangverein.mp3
1959,STRAUSSRICHARD,?,classical,30,Philadelphia Symphony Orchestra,https://archive.org/details/VrsAcoustics-74627-PhiladelphiaSymphonyOrchestra,https://archive.org/download/VrsAcoustics-74627-PhiladelphiaSymphonyOrchestra/PhilSymph_74627.mp3
2116,STRAUSSRICHARD,?,classical,30,Frieda Hempel,https://archive.org/details/VrsAcoustics-88540-FriedaHempel,https://archive.org/download/VrsAcoustics-88540-FriedaHempel/Hempel_88540_64kb.mp3
1788,STRAUSSRICHARD,?,classical,30,New York Philharmonic Orchestra,https://archive.org/details/VrsAcoustics-6427b-NewYorkPhilharmonicOrchestra,https://archive.org/download/VrsAcoustics-6427b-NewYorkPhilharmonicOrchestra/NYPhil_6427B_64kb.mp3
2028,STRAUSSRICHARD,?,classical,30,Marcella Sembrich,https://archive.org/details/VrsAcoustics-88019-MarcellaSembrich,https://archive.org/download/VrsAcoustics-88019-MarcellaSembrich/Sembrich_88019_64kb.mp3
