id|source|sourceid|composerkey|title|genre|form|sourcetitle|performer
  3757 | 78rpm  | BeethovenPianoSonataNo.23                               | BEETHOVEN            | Piano Sonata No. 23                                                    | classical | 30              | Beethoven: Piano Sonata No. 23                                         | 
  3759 | 78rpm  | BeethovenPianoSonataNo.25                               | BEETHOVEN            | Piano Sonata No. 25                                                    | classical | 30              | Beethoven: Piano Sonata No. 25                                         | 
  3758 | 78rpm  | BeethovenPianoSonataNo.24                               | BEETHOVEN            | Piano Sonata No. 24                                                    | classical | 30              | Beethoven: Piano Sonata No. 24                                         | 
  3753 | 78rpm  | BeethovenPianoSonataNo.18                               | BEETHOVEN            | Piano Sonata No. 18                                                    | classical | 30              | Beethoven: Piano Sonata No. 18                                         | 
  3755 | 78rpm  | BeethovenPianoSonataNo.20                               | BEETHOVEN            | Piano Sonata No. 20                                                    | classical | 30              | Beethoven: Piano Sonata No. 20                                         | 
  3756 | 78rpm  | BeethovenPianoSonataNo.21Waldstein                      | BEETHOVEN            | Piano Sonata No. 21 Waldstein                                          | classical | 30              | Beethoven: Piano Sonata No. 21 Waldstein                               | 
  3745 | 78rpm  | BeethovenEgmontOverturemengelberg                       | BEETHOVEN            | Egmont Overture                                                        | classical | 30              | BEETHOVEN: Egmont Overture                                             | 
  3771 | 78rpm  | BeethovenPianoSonataNo.7                                | BEETHOVEN            | Piano Sonata No. 7                                                     | classical | 30              | Beethoven Piano Sonata No. 7                                           | 
  5999 | 78rpm  | EDIS-SRP-0192-03                                        | BEETHOVEN            | Menuett G flat major & Valse bluette                                   | classical | 30              | Menuett G flat major & Valse bluette                                   | 
  3763 | 78rpm  | BeethovenPianoSonataNo.29                               | BEETHOVEN            | Piano Sonata No. 29                                                    | classical | 30              | Beethoven: Piano Sonata No. 29                                         | 
  3764 | 78rpm  | BeethovenPianoSonataNo.3                                | BEETHOVEN            | Piano Sonata No. 3                                                     | classical | 30              | Beethoven Piano Sonata No.3                                            | 
  3765 | 78rpm  | BeethovenPianoSonataNo.30                               | BEETHOVEN            | Piano Sonata No. 30                                                    | classical | 30              | Beethoven: Piano Sonata No. 30                                         | 
  3766 | 78rpm  | BeethovenPianoSonataNo.31                               | BEETHOVEN            | Piano Sonata No. 31                                                    | classical | 30              | Beethoven: Piano Sonata No. 31                                         | 
  3767 | 78rpm  | BeethovenPianoSonataNo.32                               | BEETHOVEN            | Piano Sonata No. 32                                                    | classical | 30              | Beethoven: Piano Sonata No. 32                                         | 
  3768 | 78rpm  | BeethovenPianoSonataNo.4                                | BEETHOVEN            | Piano Sonata No. 4                                                     | classical | 30              | Beethoven Piano Sonata No.4                                            | 
  3754 | 78rpm  | BeethovenPianoSonataNo.19                               | BEETHOVEN            | Piano Sonata No. 19                                                    | classical | 30              | Beethoven: Piano Sonata No. 19                                         | 
  3746 | 78rpm  | BeethovenPianoConcerto5Emperor                          | BEETHOVEN            | Piano Concerto No. 5 Emperor                                           | classical | 30              | Beethoven: Piano Concerto #5 Emperor                                   | 
  3761 | 78rpm  | BeethovenPianoSonataNo.27                               | BEETHOVEN            | Piano Sonata No. 27                                                    | classical | 30              | Beethoven: Piano Sonata No. 27                                         | 
  3748 | 78rpm  | BeethovenPianoSonata22                                  | BEETHOVEN            | Piano Sonata No. 22                                                    | classical | 30              | Beethoven: Piano Sonata #22                                            | 
